Scientific_Name,ID,Code,CA_ID,CodeNum,Generic,Subsp,Western,California,Gymno,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source,Flame_duration,Flame_duration.Source,Flame_ht,Flame_ht.Source,Pct_consumed,Pct_consumed.Source,Smolder_duration,Smolder_duration.Source
Annona_glabra,238,Ann_Gla,NA,853,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arbutus_menziesii,95,Arb_Men,NA,361,0,0.0,1,1,0,1,1.5493999999999999,FVS FFE,36.2,FVS FFE,3.0,FVS FFE,1.0,FVS FFE,4927.0,TRY,53.3,TRY,NA,NA,NA,NA,10.106667,TRY,NA,NA,NA,NA,NA,NA,20.770588,TRY,375.0,TRY,246.0,TRY,6.855769,TRY,0.57,TRY,1.21,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arbutus_xalapensis,239,Arb_Xal,NA,363,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asimina_triloba,240,Asi_Tri,NA,367,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avicennia_germinans,241,Avi_Ger,NA,986,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_alleghaniensis,96,Bet_All,NA,371,0,0.0,0,0,0,1,0.7874,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,17.628571,TRY,13.529412,TRY,NA,NA,4.25,TRY,20.307429,TRY,283.2,TRY,5.52,TRY,26.949879,TRY,0.66,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_lenta,97,Bet_Len,NA,372,0,0.0,0,0,0,1,0.7619999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,TRY,23.333333,TRY,265.0,TRY,0.858,TRY,20.87,TRY,0.71,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_nigra,98,Bet_Nig,NA,373,0,0.0,0,0,0,1,0.7366,FVS FFE,30.25,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,1738.8323,TRY,21.9,TRY,56.9067,TRY,5.2,TRY,22.8,TRY,NA,NA,0.14025,TRY,3.9212455,TRY,24.092308,TRY,NA,NA,1.1,TRY,11.660296,TRY,0.51,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_occidentalis,99,Bet_Occ,NA,NA,0,0.0,1,1,0,1,1.27,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,TRY,10.0,TRY,NA,NA,NA,NA,16.156406,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_papyrifera,100,Bet_Pap,NA,375,0,0.0,0,0,0,1,0.6858,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,4548.81286,TRY,28.7,TRY,NA,NA,3.6,TRY,20.009629,TRY,11.649896,TRY,NA,NA,5.7,TRY,7.515154,TRY,176.25,TRY,0.317,TRY,20.672091000000002,TRY,0.6,TRY,0.02034788,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_populifolia,101,Bet_Pop,NA,379,0,0.0,0,0,0,1,0.8382,FVS FFE,29.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,15.96,TRY,12.666667,TRY,NA,NA,5.5,TRY,6.177211,TRY,NA,NA,0.11,TRY,29.302,TRY,0.55,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula_spp.,102,Bet_Spp,NA,370,1,NA,NA,NA,0,1,0.8382,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bursera_simaruba,242,Bur_Sim,NA,854,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
