ID,Code,Scientific_Name,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source
340,Syz_Cum,Syzygium_cumini,NA,NA,NA,NA
341,Tam_Spp,Tamarix_spp.,NA,NA,NA,NA
342,Tax_Asc,Taxodium_ascendens,NA,NA,NA,NA
343,Thr_Mor,Thrinax_morrisii,NA,NA,NA,NA
344,Tre_Bro,Tree_broadleaf,NA,NA,NA,NA
345,Tre_Eve,Tree_evergreen,NA,NA,NA,NA
346,Tre_Unk,Tree_unknown,NA,NA,NA,NA
347,Tri_Seb,Triadica_sebifera,NA,NA,NA,NA
348,Tsu_Car,Tsuga_caroliniana,NA,NA,NA,NA
349,Ulm_Cra,Ulmus_crassifolia,NA,NA,NA,NA
350,Ulm_Ser,Ulmus_serotina,NA,NA,NA,NA
351,Ver_For,Vernicia_fordii,NA,NA,NA,NA
