ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
128,Fra_Lat,Fraxinus_latifolia,1,1.0668,FVS FFE,31.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
129,Fra_Nig,Fraxinus_nigra,1,0.889,FVS FFE,28.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
130,Fra_Pen,Fraxinus_pennsylvanica,1,0.9905999999999999,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
131,Fra_Pro,Fraxinus_profunda,1,0.9397999999999999,FVS FFE,31.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
132,Fra_Qua,Fraxinus_quadrangulata,1,0.7619999999999999,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
133,Fra_Spp,Fraxinus_spp.,1,1.0668,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
134,Gle_Tri,Gleditsia_triacanthos,1,0.9652,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
135,Gor_Las,Gordonia_lasianthus,1,0.9652,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
136,Gym_Dio,Gymnocladus_dioicus,1,0.7874,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
137,Hal_Spp,Halesia_spp.,1,0.9652,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
138,Ile_Opa,Ilex_opaca,1,1.0668,FVS FFE,31.8,FVS FFE,3.5,FVS FFE,3.0,FVS FFE
139,Jug_Cin,Juglans_cinerea,1,1.0413999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
140,Jug_Nig,Juglans_nigra,1,1.0413999999999999,FVS FFE,31.8,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
141,Jug_Spp,Juglans_spp.,1,1.0413999999999999,FVS FFE,31.8,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
142,Liq_Sty,Liquidambar_styraciflua,1,0.9143999999999999,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
143,Lir_Tul,Liriodendron_tulipifera,1,1.0413999999999999,FVS FFE,24.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
144,Lit_Den,Lithocarpus_densiflorus,1,1.3208,FVS FFE,36.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
145,Mac_Pom,Maclura_pomifera,1,0.9397999999999999,FVS FFE,28.7,FVS FFE,1.0,FVS FFE,1.0,FVS FFE
146,Mag_Acu,Magnolia_acuminata,1,0.9143999999999999,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
147,Mag_Gra,Magnolia_grandiflora,1,0.8382,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
148,Mag_Mac,Magnolia_macrophylla,1,0.8382,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
149,Mag_Spp,Magnolia_spp.,1,0.9905999999999999,FVS FFE,28.05,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
150,Mag_Vir,Magnolia_virginiana,1,1.016,FVS FFE,27.43333,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
151,Mal_Spp,Malus_spp.,1,1.0921999999999998,FVS FFE,31.54,FVS FFE,2.4,FVS FFE,1.0,FVS FFE
152,Mor_Spp,Morus_spp.,1,0.9016999999999998,FVS FFE,35.85,FVS FFE,1.0,FVS FFE,1.0,FVS FFE
153,Nys_Aqu,Nyssa_aquatica,1,0.7619999999999999,FVS FFE,28.7,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
154,Nys_Bif,Nyssa_biflora,1,0.9397999999999999,FVS FFE,28.7,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
155,Nys_Spp,Nyssa_spp.,1,0.635,FVS FFE,28.7,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
156,Nys_Syl,Nyssa_sylvatica,1,0.9905999999999999,FVS FFE,28.7,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
157,Ost_Vir,Ostrya_virginiana,1,0.9397999999999999,FVS FFE,33.94286,FVS FFE,3.571429,FVS FFE,1.0,FVS FFE
158,Oxy_Arb,Oxydendrum_arboreum,1,0.9143999999999999,FVS FFE,31.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
159,Pau_Tom,Paulownia_tomentosa,1,1.27,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
160,Per_Bor,Persea_borbonia,1,0.9652,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
161,Pla_Occ,Platanus_occidentalis,1,0.8382,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
162,Pla_Rac,Platanus_racemosa,1,0.8382,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
163,Pop_Bal,Populus_balsamifera,1,1.016,FVS FFE,19.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
164,Pop_Del,Populus_deltoides,1,1.016,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
165,Pop_Fre,Populus_fremontii,1,NA,NA,NA,NA,NA,NA,NA,NA
166,Pop_Gra,Populus_grandidentata,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
167,Pop_Het,Populus_heterophylla,1,1.27,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
168,Pop_Spp,Populus_spp.,1,1.016,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
169,Pop_Tre,Populus_tremuloides,1,1.1176,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
170,Pop_Tri,Populus_trichocarpa,1,1.1176,FVS FFE,19.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
171,Pru_Ema,Prunus_emarginata,1,1.5748,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
172,Pru_Pen,Prunus_pensylvanica,1,1.1429999999999998,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
173,Pru_Ser,Prunus_serotina,1,0.7619999999999999,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
174,Pru_Spp,Prunus_spp.,1,1.27,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
175,Pru_Vir,Prunus_virginiana,1,NA,NA,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
176,Que_Agr,Quercus_agrifolia,1,1.27,FVS FFE,49.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
177,Que_Alb,Quercus_alba,1,1.016,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
178,Que_Bic,Quercus_bicolor,1,1.1429999999999998,FVS FFE,39.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
179,Que_Chr,Quercus_chrysolepsis,1,0.6096,FVS FFE,49.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
180,Que_Coc,Quercus_coccinea,1,1.016,FVS FFE,37.4,FVS FFE,2.5,FVS FFE,1.0,FVS FFE
181,Que_Dou,Quercus_douglasii,1,0.8382,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
182,Que_Ell,Quercus_ellipsoidalis,1,NA,NA,36.2,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
183,Que_Eng,Quercus_engelmanni,1,1.4986,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
184,Que_Fal,Quercus_falcata,1,1.1176,FVS FFE,35.2,FVS FFE,2.5,FVS FFE,1.0,FVS FFE
185,Que_Gar,Quercus_garryana,1,0.7366,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
186,Que_Imb,Quercus_imbricaria,1,1.0413999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
187,Que_Kel,Quercus_kelloggii,1,0.7619999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
188,Que_Lae,Quercus_laevis,1,0.9397999999999999,FVS FFE,34.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
189,Que_Lau,Quercus_laurifolia,1,0.9143999999999999,FVS FFE,34.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
190,Que_Lob,Quercus_lobata,1,1.0921999999999998,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
191,Que_Lyr,Quercus_lyrata,1,0.9905999999999999,FVS FFE,35.6,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
192,Que_Mac,Quercus_macrocarpa,1,1.0668,FVS FFE,36.2,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
193,Que_Mar,Quercus_marilandica,1,0.9397999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
194,Que_Mar,Quercus_marilandica,1,0.9397999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
195,Que_Mic,Quercus_michauxii,1,1.1683999999999999,FVS FFE,37.4,FVS FFE,2.5,FVS FFE,1.0,FVS FFE
196,Que_Mue,Quercus_muehlenbergii,1,1.0668,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
197,Que_Nig,Quercus_nigra,1,0.9143999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
198,Que_Nut,Quercus_nutallii,1,0.7619999999999999,FVS FFE,34.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
199,Que_Pag,Quercus_pagoda,1,1.1176,FVS FFE,38.0,FVS FFE,2.5,FVS FFE,1.0,FVS FFE
200,Que_Pal,Quercus_palustris,1,1.0413999999999999,FVS FFE,36.2,FVS FFE,2.5,FVS FFE,1.0,FVS FFE
201,Que_Phe,Quercus_phellos,1,1.0413999999999999,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
202,Que_Rub,Quercus_rubra,1,1.0668,FVS FFE,34.9,FVS FFE,2.333333,FVS FFE,1.0,FVS FFE
203,Que_Shu,Quercus_shumardii,1,0.9397999999999999,FVS FFE,34.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
204,Que_Spp,Quercus_spp.,1,1.1429999999999998,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
205,Que_Ste,Quercus_stellata,1,1.1176,FVS FFE,37.4,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
206,Que_Vel,Quercus_velutina,1,1.1429999999999998,FVS FFE,34.9,FVS FFE,2.333333,FVS FFE,1.0,FVS FFE
